"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User login with correct email and password","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:38 GMT 2025","broken","Wed Aug 06 03:35:38 GMT 2025","Authorization","Authentication","",""
"","0","Registration with correct email, username and password","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Registration","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:38 GMT 2025","broken","Wed Aug 06 03:35:38 GMT 2025","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:38 GMT 2025","broken","Wed Aug 06 03:35:38 GMT 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","Edit course","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:38 GMT 2025","broken","Wed Aug 06 03:35:38 GMT 2025","Authorization","Authentication","",""
"","0","Edit course","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","Check displaying of empty courses list","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","Check displaying of dashboard page","LMS system","Wed Aug 06 03:35:41 GMT 2025","broken","Wed Aug 06 03:35:41 GMT 2025","Dashboard","Dashboard","",""
"","0","Check displaying of dashboard page","LMS system","Wed Aug 06 03:35:41 GMT 2025","broken","Wed Aug 06 03:35:41 GMT 2025","Dashboard","Dashboard","",""
"","0","Create course","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","Registration with correct email, username and password","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Registration","Authentication","",""
"","0","Registration with correct email, username and password","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Registration","Authentication","",""
"","0","Edit course","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","Navigation from login page to registration page","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","Check displaying of empty courses list","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:38 GMT 2025","broken","Wed Aug 06 03:35:38 GMT 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:38 GMT 2025","broken","Wed Aug 06 03:35:38 GMT 2025","Authorization","Authentication","",""
"","0","Create course","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","Check displaying of dashboard page","LMS system","Wed Aug 06 03:35:41 GMT 2025","broken","Wed Aug 06 03:35:41 GMT 2025","Dashboard","Dashboard","",""
"","0","Create course","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Courses","Courses","",""
"","0","User login with correct email and password","LMS system","Wed Aug 06 03:35:40 GMT 2025","broken","Wed Aug 06 03:35:40 GMT 2025","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Wed Aug 06 03:35:39 GMT 2025","broken","Wed Aug 06 03:35:39 GMT 2025","Authorization","Authentication","",""
